id,name,rating,reviews.text,reviews.title
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,3.0,Set up was simple. We liked so much we bought one for my Mom,Great sound
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,Enjoying Alexa! There is so much you can ask her! Looking forward to the security monitoring .,Love it
AVqkIj9snnc1JgDc3khU,"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",4.0,I was literally still using my first gen Kindle Fire and finally upgraded. I love the new one. The only negative is the speakers. My first one is louder than this one.,Love my Kindle Fire
AVpgdkC8ilAPnD_xsvyi,"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",5.0,This was a gift for Christmas. We bought this on a black Friday sale. Price was reasonable,Kindle Fire
AVqkIhwDv8e3D1O-lebb,"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",5.0,Excellent product for what it does. Spouse loves it!Nough said!,Excellent for what it does it
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",3.0,"Amazing how much stuff this can do everything from a alarm clock to listening to music,asking questions and controlling devices .the sound front the speakers is really great.",Pretty cool stuff
AVqVGZNvQMlgsOJE6eUY,"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",4.0,"I love my new Kindle. The size is perfect. It fits right in my purse. Easy to navigate and I love the touch screen. I am able to read outside without a glare. Only flaw is that it is not backlit, so in order to read in the dark I need a book light. I don't mind that so much, I just wish kindle would come out with a case for this Kindle with a built in book light like they did for the first generation Kindle.",Great Kindle quality for a reasonable price.
AVpfIfGA1cnluZ0-emyp,Amazon 9W PowerFast Official OEM USB Charger and Power Adapter for Fire Tablets and Kindle eReaders,5.0,Exactly what I needed. Didn't want to settle for a generic off brand charger. Thanks to Best Buy I didn't have to.,Spot On!
AVph0EeEilAPnD_x9myq,"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",3.0,We bought this for our 2 yr old granddaughter and she loves it! It has so many apps and videos for her to watch. I would definitely recommend this to anyone who is looking for a tablet for a child.,Great tablet for a toddler!
AVqkIhkhv8e3D1O-lebZ,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",3.0,"It a great product..,. The quality is awesome the pictures is good and clear...",Fire HD tablets
AVpjEN4jLJeJML43rpUe,"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",5.0,Any Kindle product I have purchased is easy to use,Kindle produces great products
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",4.0,"Love this product, able to read recipes instead of just hearing them. Speaker is pretty good too.","Great screen, sound and color."
AWFUWc8THh53nbDRF6YO,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5.0,"Love the echo show so much! Easy to use, connects to your mobil phone to easily call people!",Echo show is easy to use
AWK8z0pOIwln0LfXlSxH,"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",3.0,Love playing music and talking to Alexa and looking at my camera three the screen,Great Alexa to view
AWMjT0WguC1rwyj_rFh3,Amazon - Echo Plus w/ Built-In Hub - Silver,5.0,Very easy to set up.Changed how I do a lot of things.,Best new friend
